imb,imb_err,L,p
0.002834951464357813,6.940887769714055e-5,400.0,0.0
0.0014147074618209767,3.874973253276733e-5,800.0,0.0
0.0009817643019001184,2.8922685832213224e-5,1200.0,0.0
0.0007020388911055272,2.6410140567973527e-5,1600.0,0.0
0.0005795747851012447,2.969158637837995e-5,2000.0,0.0
0.007801213343325507,0.0001894137733500593,400.0,0.5
0.005035556234595242,0.00013034996761064976,800.0,0.5
0.003903257727404301,0.00012205666753938451,1200.0,0.5
0.0032426818670368007,0.00012620957159859334,1600.0,0.5
0.0028814367165088933,0.00015985889266097763,2000.0,0.5
0.026617108568256057,0.0006665221114799713,400.0,1.0
0.018781562848016874,0.0004940611451938209,800.0,1.0
0.015296524128125133,0.00046456819769942796,1200.0,1.0
0.013257265172254713,0.0004972652046014459,1600.0,1.0
0.012049127249065164,0.0006533152620431363,2000.0,1.0
0.039974661720444525,0.0009256138229589063,400.0,1.5
0.0283603524960658,0.000768959651962632,800.0,1.5
0.02419053845388084,0.0007175649845715178,1200.0,1.5
0.02043953968729828,0.000745865201814964,1600.0,1.5
0.019522655238872998,0.0010004220549198071,2000.0,1.5
0.04854410726180967,0.0011657704420990648,400.0,2.0
0.03256246726397135,0.0008548201831480559,800.0,2.0
0.02781423301376556,0.0008501010907635654,1200.0,2.0
0.023832656910338867,0.0009079578050981583,1600.0,2.0
0.023310804098388784,0.0011601194705857935,2000.0,2.0
0.051268589249123545,0.0012252161814947434,400.0,2.5
0.035208554566751836,0.0009787378090948032,800.0,2.5
0.0296133329478244,0.0008716874277120122,1200.0,2.5
0.02623310783182486,0.0009720915909744249,1600.0,2.5
0.023364387831563874,0.001250584695658326,2000.0,2.5
0.0560425079094559,0.001286703420343421,400.0,3.0
0.03961907190623088,0.0010604365121193696,800.0,3.0
0.032857485576738496,0.0009824505997898518,1200.0,3.0
0.025690282890371362,0.0009333766801142965,1600.0,3.0
0.023808157148700108,0.0012443121613263477,2000.0,3.0
0.057913209453754284,0.001330287015626954,400.0,3.5
0.040121600997385494,0.0010779446595547376,800.0,3.5
0.031269698236595464,0.0009146994074842965,1200.0,3.5
0.02929564281793492,0.0011709935779681655,1600.0,3.5
0.023425553494291748,0.0013139472476710714,2000.0,3.5
0.054987685393952296,0.001344377053293859,400.0,4.0
0.040054788204608636,0.001012627623104477,800.0,4.0
0.033402137430941954,0.0009860439092167473,1200.0,4.0
0.026940742488121585,0.0010180128304499,1600.0,4.0
0.027465866268199298,0.0014920259915582371,2000.0,4.0
