tau,lamb_min,lamb_delta,tau_err,lamb_min_err,lamb_delta_err,L,p
22.6581092471055,0.044150882379300864,0.000716547581680034,0.04418405018606157,8.588588330273977e-5,3.720781322952555e-5,1000.0,0.0
22.823616080662894,0.04383334270535975,0.0007490825773313449,0.04802233886279823,9.161633169590657e-5,4.192899722638963e-5,1000.0,0.1
23.061393451447028,0.04337956416378658,0.0007203596846250212,0.04609028683819256,8.61967463500061e-5,4.031688067266023e-5,1000.0,0.2
23.309012458463208,0.04292272530654361,0.0007015455225393608,0.05186190640331205,9.475987805293218e-5,4.1769465515688734e-5,1000.0,0.3
23.633958995616837,0.042328760005585137,0.0006967723915910986,0.047185672665185516,8.483372146337765e-5,3.399827539221158e-5,1000.0,0.4
24.264563524301952,0.041240515119250976,0.000675653822611567,0.06377916566702338,0.0001082384386769278,3.8836969303875085e-5,1000.0,0.5
26.057745555006946,0.03844308508970871,0.0006330627413047216,0.11038833815056046,0.00015944110857897548,3.474264424991289e-5,1000.0,0.6
29.8678653730597,0.03361641677728031,0.0006931842179767245,0.1923970154078286,0.00021315299837216728,4.8102163570286033e-5,1000.0,0.7
36.05299220753873,0.028035439636611034,0.0008286049353539735,0.3898192094038787,0.0002813260194119174,7.224921190977993e-5,1000.0,0.8
44.226850789315414,0.022903510086281907,0.0007352180964410968,0.5069898676366192,0.00026274781124555475,6.703795489405488e-5,1000.0,0.9
55.6337226049744,0.01842071543030332,0.000816179869257512,0.9231784035324212,0.0002782503072908093,6.931663691247157e-5,1000.0,1.0
67.53918350521236,0.01510941865203128,0.0007576988310929327,0.9998963793451076,0.0002105990949616948,5.737050698924466e-5,1000.0,1.1
84.01417095979058,0.012373669692827827,0.0007676479947580783,1.7658054241749528,0.00023566932193948252,6.367429132698703e-5,1000.0,1.2
103.42895708596183,0.010018174054248258,0.000873714283003793,1.949694862637383,0.00019378750744235,7.467188315756312e-5,1000.0,1.3
123.15539970954075,0.00858226344697568,0.0006545879888557476,3.023466957244035,0.00019930297098835363,5.179445147264919e-5,1000.0,1.4
152.779109249285,0.0068812312983573265,0.0008269376592581207,3.601157943251348,0.0001511399792988042,5.8176227699097485e-5,1000.0,1.5
173.61307590227895,0.006185317632598596,0.0005894024696662277,5.006686102725633,0.00015811960995603828,5.0864599134288534e-5,1000.0,1.6
218.96285255587517,0.005006999406369228,0.0006094656806180137,7.7618455774827355,0.00014228786111097983,5.4570061497356714e-5,1000.0,1.7
257.28634909500687,0.004314508560806351,0.0004846690939916122,9.11870434775981,0.00013274262160119522,4.6658906423686224e-5,1000.0,1.8
298.8277757597722,0.0037516285956824135,0.0005063010668146838,11.374896282982597,0.00011693461776160694,4.2788361791252424e-5,1000.0,1.9
339.3583832356676,0.0032853138372049124,0.00041095891036283937,12.838079858581576,0.00010433673088520964,3.5561434881127996e-5,1000.0,2.0
